질병명,항목,내용
전기재해 - 감전사,병원 방문 필요 증상,없음
전기재해 - 감전사,자가 관리 방법,없음
전기재해 - 감전사,전기재해 - 감전사증상,굉장히 아프고 참기 힘들다 전기 쇼크 같은 통증 화상 발가락 화상 의식을 잃음
전립선 신생물,병원을 꼭 방문해야 하는전립선 신생물증상,혈뇨 24시간 동안 500ml 청량음료 한 병보다 적은 양의 소변을 봅니다
전립선 신생물,전립선 신생물자가 관리 방법,"균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다" 일주일에 3번 규칙적으로 운동합니다 비만 또는 과체중인 경우 체중을 감량합니다 슈도에페드린이 함유된 제품을 섭취하지 마세요
전립선 신생물,전립선 신생물증상,소량의 소변을 하루에 여러 번 봄 소변을 볼 때 소변 줄기가 약함 소변을 볼 수 없음 간헐적인 소변 흐름 배뇨 곤란
전립선염,병원을 꼭 방문해야 하는전립선염증상,"해열제(파라세타몰 이부프로펜)로도 멈추지 않는 발열" 허리 통증 구토물 24시간 동안 500ml 청량음료 한 병보다 적은 양의 소변을 봅니다
전립선염,전립선염자가 관리 방법,하루에 물 2리터를 섭취합니다. "진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 항문 부위의 미생물이 요도(소변이 나오는 구멍)와 접촉하지 않도록 주의하세요. 항생제에 대해 일반의와 상의하세요
전립선염,전립선염증상,불편감이 동반되는 지속적인 배뇨감을 느낌 소변이 평소와 다름 소량의 소변을 하루에 여러 번 봄 소변 볼 때 통증이 있음 소변을 볼 때 따가움/작열감
전방십자인대(ACL) 손상,병원을 꼭 방문해야 하는전방십자인대(ACL) 손상증상,사지를 움직일 수 없음 관절 가동 범위가 제한됨 무릎의 진행성 부종
전방십자인대(ACL) 손상,전방십자인대(ACL) 손상자가 관리 방법,증상이 최소화될 때까지 부분적으로 휴식을 취합니다. 증상을 완화하기 위해 하루 3번 20분 동안 냉찜질을 합니다 신축성 있는 붕대나 압박 붕대로 무릎을 감습니다 사지를 올린 상태를 유지합니다
전방십자인대(ACL) 손상,전방십자인대(ACL) 손상증상,무릎에서 소리가 난 후 슬관절 통증이 시작됨 다리에 체중을 실으면 무릎 통증이 심해짐 한쪽 관절의 통증 무릎이 불안정함 스키 탈 때 슬관절 통증
전방 중족골 통증 - 모르톤 신경종,병원을 꼭 방문해야 하는전방 중족골 통증 - 모르톤 신경종증상,진통제로도 멈추지 않는 통증 발열(38ºC를 초과하는 체온) "감염징후가 있는 상처(열 발적 고통스러운 감각 발열 부기)"
전방 중족골 통증 - 모르톤 신경종,전방 중족골 통증 - 모르톤 신경종자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 염증을 줄이기 위해 하루 3번 병변 부위에 국소적으로 냉찜질을 합니다 꽉 끼지 않는 편안한 신발을 착용하세요 증상이 시작된 날로부터 한 달 동안은 신체 활동을 하지 마세요.
전방 중족골 통증 - 모르톤 신경종,전방 중족골 통증 - 모르톤 신경종증상,세 번째와 네 번째 발가락 사이에서 타는 듯한 통증이 느껴짐 발바닥 앞부분의 통증 걸을 때 발 통증이 심해짐 신발을 벗으면 통증이 완화됨 통증이 움직이면 심해지고 휴식을 취하면 호전됨
전신 임균감염,병원 방문 필요 증상,없음
전신 임균감염,전신 임균감염자가 관리 방법,증상이 최소화될 때까지 부분적으로 휴식을 취합니다. "진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다."
전신 임균감염,전신 임균감염증상,관절 종창 감염 위험이 있는 성행위 피부 발진 음경 요도에서 고름 분비물이 나옴 발열/매우 더운 느낌
전신홍반루푸스,병원을 꼭 방문해야 하는전신홍반루푸스증상,호흡곤란 감각 가슴의 통증 두통 발열(38ºC를 초과하는 체온) 발작을 동반하는 경우 "면역 결핍 병력(HIV 당뇨병 종양학적 장애 코르티코스테로이드 장기 사용)입니다." 임신
전신홍반루푸스,전신홍반루푸스자가 관리 방법,과도한 햇빛 노출을 피하세요 SPF 30 이상의 광범위한 자외선 차단제를 사용합니다 일주일에 3번 규칙적으로 운동합니다 "균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다" 담배 소비량을 줄입니다
전신홍반루푸스,전신홍반루푸스증상,얼굴에 붉은 피부가 있음 피부가 붉어짐 매우 심한 관절 통증 추론 능력이 변함 햇빛에 대한 피부 민감성
전정신경염으로 인한 말초성 현기증,병원을 꼭 방문해야 하는전정신경염으로 인한 말초성 현기증증상,청력상실 "낙상 머리 부상 또는 골절이 동반되는 경우"
전정신경염으로 인한 말초성 현기증,전정신경염으로 인한 말초성 현기증자가 관리 방법,어지러움을 느끼는 경우에는 바로 앉습니다 가정에서 좋은 조명을 사용합니다 "균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다" "구토가 있는 경우 항구토제(디멘히드리네이트 차살리실산 비스무트 온단세트론 메토클로프라미드)를 복용합니다" 경구용 코르티코스테로이드에 대해 일반의와 상의하세요
전정신경염으로 인한 말초성 현기증,전정신경염으로 인한 말초성 현기증증상,회전 감각 반복적인 불수의 안구 운동 구토 자세가 불안정해 서 있기 어려움 과도 발한
전정신경초종,병원을 꼭 방문해야 하는전정신경초종증상,얼굴 한쪽의 감각마비 또는 위축 두통
전정신경초종,자가 관리 방법,없음
전정신경초종,전정신경초종증상,부분 청력 소실 귀가 울림 회전 감각 걷는 데 어려움이 있음 얼굴 통증
전치태반,병원 방문 필요 증상,없음
전치태반,자가 관리 방법,없음
전치태반,전치태반증상,혈전이 가득한 질 출혈 질 출혈 간헐적이고 심한 복통 생식기에서 강렬한 및/또는 장기간 출혈이 있음 하복부 통증
점액부종혼수,병원 방문 필요 증상,없음
점액부종혼수,자가 관리 방법,없음
점액부종혼수,점액부종혼수증상,혼수 혈당 수치가 50g/dl 이하임 호흡수가 8회 이하임 슬픔을 느낌 경련
접촉성 피부염,병원을 꼭 방문해야 하는접촉성 피부염증상,발열(38ºC를 초과하는 체온) 초기 치료 후 2주 넘게 증상이 지속됩니다 악취가 나는 분비물 "눈 입 및 생식기에 영향을 미치는 발진"
접촉성 피부염,접촉성 피부염자가 관리 방법,발진을 유발하는 자극제나 알레르기항원을 피하세요 "가려움증을 완화하기 위해 항히스타민제(디펜히드라민 데스로라타딘 로라타딘 또는 세티리진)를 복용합니다" "보습제 크림 또는 코르티코스테로이드가 함유된 연고를 바릅니다" 증상을 완화하기 위해 하루 3번 20분 동안 냉찜질을 합니다
접촉성 피부염,접촉성 피부염증상,피부가 붉어짐 손가락 가려움증 피부가 붉어지고 수포 및/또는 작은 붉은 점이 있는 부위가 있음 긁힘으로 인한 두피 병변 머리 가려움증
정계정맥류,병원을 꼭 방문해야 하는정계정맥류증상,고환 크기 감소(고환 위축) 고환 통증 발열(38ºC를 초과하는 체온) 음낭 또는 주변 혈액세포의 손상
정계정맥류,정계정맥류자가 관리 방법,"통증이 있는 경우 파라세타몰 이부프로펜 또는 디클로페낙과 같은 진통제를 복용합니다." 꽉 끼는 속옷이나 음낭 받침대를 사용합니다
정계정맥류,정계정맥류증상,음낭 정맥 종창 음낭 내부에 종괴 형태의 정맥류가 있음 고환 종창이 며칠에 걸쳐 천천히 진행됨 고환이 작고 혹이 느껴짐 음낭을 만지면 통증이 있음
정맥동혈전증 - 뇌정맥동 혈전증,병원 방문 필요 증상,없음
정맥동혈전증 - 뇌정맥동 혈전증,자가 관리 방법,없음
정맥동혈전증 - 뇌정맥동 혈전증,정맥동혈전증 - 뇌정맥동 혈전증증상,두통 눈이 더 돌출됨 오심 지속적 두통 머리 한쪽의 두통
정맥성 원인으로 인한 발기,병원 방문 필요 증상,없음
정맥성 원인으로 인한 발기,정맥성 원인으로 인한 발기자가 관리 방법,증상이 최소화될 때까지 부분적으로 휴식을 취합니다.
정맥성 원인으로 인한 발기,정맥성 원인으로 인한 발기증상,수면 중에 발기가 시작되어 깬 다음에도 지속됨 장기간 발기 음경 통증 발기 중의 갑작스러운 통증 생식기 불편감
정삭 꼬임 - 고환염전,병원 방문 필요 증상,없음
정삭 꼬임 - 고환염전,정삭 꼬임 - 고환염전자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다."
정삭 꼬임 - 고환염전,정삭 꼬임 - 고환염전증상,고환 통증 음낭이 부어 있고 열감과 충혈이 있음 고환 통증으로 잠에서 깸 함몰 고환 음낭을 만지면 통증이 있음
정상압수두증(NPH),병원을 꼭 방문해야 하는정상압수두증(NPH)증상,발열(38ºC를 초과하는 체온) 두통 사지의 민감성 및/또는 운동성 의식수준 상실
정상압수두증(NPH),자가 관리 방법,없음
정상압수두증(NPH),정상압수두증(NPH)증상,소변을 지림 지적 및/또는 운동 능력 저하 불수의 배변 걷는 데 어려움이 있음 평형감을 상실해 낙상이 잦음
정상 형성된 태반 조기박리 - 태반조기박리,병원 방문 필요 증상,없음
정상 형성된 태반 조기박리 - 태반조기박리,자가 관리 방법,없음
정상 형성된 태반 조기박리 - 태반조기박리,정상 형성된 태반 조기박리 - 태반조기박리증상,생식기 출혈 질에서 검은 피가 나옴 질 출혈 지속적인 근육 수축으로 복부가 단단함 국소 복통
정형폐렴 - 지역 획득 폐렴,병원을 꼭 방문해야 하는정형폐렴 - 지역 획득 폐렴증상,65세 이상 호흡곤란 호흡곤란 감각 "해열제(파라세타몰 이부프로펜)로도 멈추지 않는 발열" 기침 악화 숨을 쉴 때 가슴에 통증이 있음 만성폐쇄성폐질환(COPD)과 같은 중증 폐 질환 병력 "당뇨병 비만 심장 질환 신 장질환 뇌 질환 간 질환과 같은 동반질병이 있는 경우입니다." "면역 결핍 병력(HIV 당뇨병 종양학적 장애 코르티코스테로이드 장기 사용)입니다."
정형폐렴 - 지역 획득 폐렴,정형폐렴 - 지역 획득 폐렴자가 관리 방법,의사의 지시가 없는 경우 약을 복용하지 마세요 근육 통증이나 열(38°C를 초과하는 체온)이 있는 경우 이부프로펜 또는 파라세타몰과 같은 진통제 및 해열제를 복용합니다 하루에 2L의 수분공급을 유지합니다. 당분이 많이 함유된 청량음료와 과일 주스는 피하세요. "균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다"
정형폐렴 - 지역 획득 폐렴,정형폐렴 - 지역 획득 폐렴증상,황록색 가래 호흡곤란 기침 기침을 하면 평소보다 더 많은 점액이 나옴 찌르는 듯한 흉통
정형폐렴 - 지역 획득 폐렴 (소아청소년과),병원 방문 필요 증상,없음
정형폐렴 - 지역 획득 폐렴 (소아청소년과),정형폐렴 - 지역 획득 폐렴 (소아청소년과)자가 관리 방법,근육 통증이나 열(38°C를 초과하는 체온)이 있는 경우 이부프로펜 또는 파라세타몰과 같은 진통제 및 해열제를 복용합니다 하루에 물 2리터를 섭취합니다. "균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다"
정형폐렴 - 지역 획득 폐렴 (소아청소년과),정형폐렴 - 지역 획득 폐렴 (소아청소년과)증상,폐 안에 걸쭉한 점액이 많음 기침 40℃ 이상의 고열 찌르는 듯한 흉통 통증으로 인해 숨을 깊게 들이쉬지 못함
제왕절개 상처의 장액종,병원 방문 필요 증상,없음
제왕절개 상처의 장액종,제왕절개 상처의 장액종자가 관리 방법,물과 비누로 상처 부위를 완전히 씻어냅니다 "진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 증상을 완화하기 위해 하루 3번 20분 동안 냉찜질을 합니다
제왕절개 상처의 장액종,제왕절개 상처의 장액종증상,맑은 체액이 외과적 상처에서 흘러나옴 경계가 부은 외과적 상처 통증이 있는 피부 병변 수술 부위의 통증
제왕절개 수술 상처의 혈종,병원 방문 필요 증상,없음
제왕절개 수술 상처의 혈종,제왕절개 수술 상처의 혈종자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다."
제왕절개 수술 상처의 혈종,제왕절개 수술 상처의 혈종증상,피가 섞인 체액이 외과적 상처에서 흘러나옴 수술 상처 색이 짙어짐 경계가 부은 외과적 상처 수술 부위의 통증 수술 상처에서 악취가 남
조기양막파수,병원 방문 필요 증상,없음
조기양막파수,자가 관리 방법,없음
조기양막파수,조기양막파수증상,양수 터짐 기한 전에 물 깨기 양수가 맑음 양수가 대변이나 피로 혼탁해짐
조기 양막 파열,병원 방문 필요 증상,없음
조기 양막 파열,자가 관리 방법,없음
조기 양막 파열,조기 양막 파열증상,양수 터짐 기한 전에 물 깨기 양수가 맑음 양수가 대변이나 피로 혼탁해짐
조산 위험,병원 방문 필요 증상,없음
조산 위험,자가 관리 방법,없음
조산 위험,조산 위험증상,자궁 수축 30분 동안 자궁수축이 4회 이상 발생함 질의 압력 및/또는 무거움 자궁 수축이 30초 이상 지속됨 골반 부위 통증
조현병,병원을 꼭 방문해야 하는조현병증상,알코올 및 불법 약물 과다 복용 심인성 운동불안
조현병,조현병자가 관리 방법,알코올 소비량을 줄입니다 심리적 스트레스를 유발하는 상황을 줄입니다 "불안 수준을 낮추는 데 도움이 되는 활동(요가 태극권 명상)에 자주 참여합니다." 항정신병제에 대해 일반의와 상의하세요
조현병,조현병증상,이상한 방식으로 행동하거나 말함 과장된 생각을 하거나 섬망 증상이 있음 감정 표현이 어려움 환각 사회적 상호 작용에 대한 관심 부족
조현성 성격장애,병원 방문 필요 증상,없음
조현성 성격장애,자가 관리 방법,없음
조현성 성격장애,조현성 성격장애증상,사회적 상호 작용에 대한 관심 부족 감정적으로 냉담함 주변과의 격리 주변 사람과 단절됨 공감 부족
족근골 돌기,병원을 꼭 방문해야 하는족근골 돌기증상,신발 착용 위치를 제한 "면역 결핍 병력(HIV 당뇨병 종양학적 장애 코르티코스테로이드 장기 사용)입니다." 출혈
족근골 돌기,족근골 돌기자가 관리 방법,꽉 끼지 않는 편안한 신발을 착용하세요 "진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 부드러운 작은 쿠션으로 덮어줍니다
족근골 돌기,족근골 돌기증상,발 덩이 발 윗부분에 혹이 있음 발 위쪽 종괴가 부음 발 윗부분의 통증성 종괴
족부 외상 - 족부 타박상,병원을 꼭 방문해야 하는족부 외상 - 족부 타박상증상,멍이 1주일이 지나도 사라지지 않거나 악화되는 경우 진통제로도 멈추지 않는 통증 사지를 움직일 수 없음
족부 외상 - 족부 타박상,족부 외상 - 족부 타박상자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 염증을 줄이기 위해 하루 3번 병변 부위에 국소적으로 냉찜질을 합니다 사지를 올린 상태를 유지합니다 갑자기 움직이지 마세요
족부 외상 - 족부 타박상,족부 외상 - 족부 타박상증상,발 종창 외상 부위의 멍 발 통증 사지 종창 걸을 때 발 통증이 심해짐
족부 절단,병원 방문 필요 증상,없음
족부 절단,족부 절단자가 관리 방법,눌러서 출혈을 멈춥니다 상처에 달라붙지 않는 깨끗한 붕대를 감습니다
족부 절단,족부 절단증상,발 외상성 절단 오른쪽 발 외상성 절단 왼쪽 발 외상성 절단 발의 상처/자상 다리 아래쪽 1/3에 통증이 있음
족부 화상,병원을 꼭 방문해야 하는족부 화상증상,피부가 거칠거나 검게 보이는 화상 화학 물질 또는 전기로 인한 화상 "감염징후가 있는 상처(열 발적 고통스러운 감각 발열 부기)"
족부 화상,족부 화상자가 관리 방법,타지 않았거나 달라붙지 않은 옷을 제거합니다 찬물을 5~10분 동안 좁은 부위에 묻힙니다 건조하고 깨끗한 시트로 덮어줍니다 "진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 하루에 물 2리터를 섭취합니다.
족부 화상,족부 화상증상,화상 피부가 붉어짐 피부 소수포/수포 피부가 타는 듯한 느낌 발 통증
족저근막염,병원을 꼭 방문해야 하는족저근막염증상,진통제로도 멈추지 않는 통증 발열(38ºC를 초과하는 체온) "감염징후가 있는 상처(열 발적 고통스러운 감각 발열 부기)"
족저근막염,족저근막염자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 정형외과용 깔창을 사용하여 발을 높입니다 염증을 줄이기 위해 하루 3번 병변 부위에 국소적으로 냉찜질을 합니다 종아리를 중심으로 스트레칭을 합니다 아치형으로 지지되는 운동화를 착용합니다
족저근막염,족저근막염증상,발바닥 통증 뒤꿈치 볼 부위 중앙 통증 걸을 때 발 통증이 심해짐 통증이 움직이면 심해지고 휴식을 취하면 호전됨 걷는 데 어려움이 있음
족 진폐증,병원을 꼭 방문해야 하는족 진폐증증상,발열(38ºC를 초과하는 체온) 해당 부위가 붉어지면서 열감이 느껴집니다
족 진폐증,족 진폐증자가 관리 방법,꽉 끼지 않는 편안한 신발을 착용하세요 하루에 두 번 물과 비누로 발을 씻습니다. 샤워 후 젖은 피부에 보습 크림이나 윤활제를 사용합니다 실리콘 밴드나 압박 스타킹을 사용합니다. 사지를 올린 상태를 유지합니다
족 진폐증,족 진폐증증상,다리 종창 다리 피부가 다른 곳보다 더 딱딱함 발바닥에 작열감 및/또는 가려움증 발가락을 움직이기 어려움
종기,병원을 꼭 방문해야 하는종기증상,진통제로도 멈추지 않는 통증 발열(38ºC를 초과하는 체온) 초기 치료 후 2주 넘게 증상이 지속됩니다 흐린 시야.
종기,종기자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." "하루에 3~4회 10~15분간 온찜질을 합니다" "종기를 문지르거나 누르거나 ""터뜨리지"" 마세요" 손과 손톱의 위생을 유지합니다
종기,종기증상,결절 및/또는 농포 중앙에 난 털 털이 있고 축축한 신체 부위의 병변 고름이 있는 피부 병변 통증이 있는 피부 병변 "피부가 붉어지고 당기고 윤기가 남"
종아리 상처,병원을 꼭 방문해야 하는종아리 상처증상,심부 부상 깊게 삽입된 물체 멈추지 않는 출혈 해당 부위의 민감도 상실 사람 또는 동물에게 물림 "감염징후가 있는 상처(열 발적 고통스러운 감각 발열 부기)"
종아리 상처,종아리 상처자가 관리 방법,물과 비누로 상처 부위를 완전히 씻어냅니다 눌러서 출혈을 멈춥니다 상처에 달라붙지 않는 깨끗한 붕대를 감습니다 병변 부위에 바람을 불지 않습니다 깊게 삽입된 물체를 제거하지 마세요
종아리 상처,종아리 상처증상,다리 상처/자상 자상 또는 상처 출혈 하지 통증 350ml 미만의 매우 경미한 출혈
좌골 신경통 - 요추 신경통,병원을 꼭 방문해야 하는좌골 신경통 - 요추 신경통증상,증상이 있는 다리의 감각 상실 증상이 있는 다리를 움직일 수 없음 증상이 있는 다리의 쇠약
좌골 신경통 - 요추 신경통,좌골 신경통 - 요추 신경통자가 관리 방법,일주일에 3번 규칙적으로 운동합니다 앉을 때 척추의 정상적인 곡률을 유지하기 위해 베개나 말아 놓은 수건을 허리에 받쳐주세요 비만 또는 과체중인 경우 체중을 감량합니다 등을 편 상태에서 웅크리고 무릎을 구부립니다.
좌골 신경통 - 요추 신경통,좌골 신경통 - 요추 신경통증상,아래 허리 통증 넓적다리 뒤쪽에서 시작해 발까지 퍼지는 등허리 통증 다리 편측에서 발로 이어지는 하부 등허리 통증 엉덩이와 다리 뒤쪽의 날카로운 통증 등 통증
주관절 윤활낭염,병원을 꼭 방문해야 하는주관절 윤활낭염증상,관절 변형 발열(38ºC를 초과하는 체온) 진통제로도 멈추지 않는 통증 관절로 움직일 수 없음
주관절 윤활낭염,주관절 윤활낭염자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 증상이 최소화될 때까지 부분적으로 휴식을 취합니다. 염증을 줄이기 위해 하루 3번 병변 부위에 국소적으로 냉찜질을 합니다 갑자기 움직이지 마세요
주관절 윤활낭염,주관절 윤활낭염증상,팔꿈치 통증 팔꿈치가 부음 팔꿈치를 움직이기가 어려움 사지 종창 운동 중이나 휴식 중에도 관절 통증이 있음
주관절터널증후군,병원을 꼭 방문해야 하는주관절터널증후군증상,손 변형 사지의 민감성 및/또는 운동성
주관절터널증후군,주관절터널증후군자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 근긴장도 유지에 도움이 되는 물리치료 운동을 합니다 팔꿈치를 부딪히거나 팔꿈치로 기대지 마세요 손목 또는 팔꿈치 받침 보정기를 사용합니다
주관절터널증후군,주관절터널증후군증상,새끼손가락에 감각이 없음 가장 많이 사용하는 팔꿈치의 통증 해당 부위가 저림 약지와 새끼 손가락 통증 반지손가락 바깥 부분에 감각이 없음
주관증후군 (척골신경압박후군),병원을 꼭 방문해야 하는주관증후군 (척골신경압박후군)증상,손 변형 사지의 민감성 및/또는 운동성
주관증후군 (척골신경압박후군),주관증후군 (척골신경압박후군)자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 근긴장도 유지에 도움이 되는 물리치료 운동을 합니다 팔꿈치를 부딪히거나 팔꿈치로 기대지 마세요 손목 또는 팔꿈치 받침 보정기를 사용합니다
주관증후군 (척골신경압박후군),주관증후군 (척골신경압박후군)증상,새끼손가락에 감각이 없음 반지손가락 바깥 부분에 감각이 없음 약지와 새끼 손가락 통증 갈퀴손 서툰 손가락
주사피부염,병원 방문 필요 증상,없음
주사피부염,주사피부염자가 관리 방법,유발 요인을 파악하여 방지합니다 과도한 햇빛 노출을 피하세요 SPF 30 이상의 광범위한 자외선 차단제를 사용합니다 항생제에 대해 일반의와 상의하세요
주사피부염,주사피부염증상,코 피부가 두껍고 붉음 얼굴의 뾰루지(여드름) 얼굴에 붉은 피부가 있음 피부에 보이는 표면 혈관 뺨이 붉게 변함
주상골 골절,병원 방문 필요 증상,없음
주상골 골절,주상골 골절자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다."
주상골 골절,주상골 골절증상,엄지손가락 기저부의 통증 엄지손가락 기저부 바깥쪽 통증 물건을 집으면 손이 아픔 히치하이킹 자세를 할 때 통증이 있음 손 통증
주의력결핍과다활동장애 - ADHD,병원을 꼭 방문해야 하는주의력결핍과다활동장애 - ADHD증상,심인성 운동불안
주의력결핍과다활동장애 - ADHD,주의력결핍과다활동장애 - ADHD자가 관리 방법,"균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다" 또래와의 만남을 장려하여 사회성을 증진합니다 자녀에게 설명할 때는 간단한 단어와 구체적인 예를 사용합니다 "불안 수준을 낮추는 데 도움이 되는 활동(요가 태극권 명상)에 자주 참여합니다." 심리치료 및 치료법에 대해 일반의와 상의하세요
주의력결핍과다활동장애 - ADHD,주의력결핍과다활동장애 - ADHD증상,주의를 집중하기 어려움 쉽게 산만해짐 과도한 불안/활동 과다 사회적 규범을 배우는 것이 어려움 건망증
주혈흡충증,병원을 꼭 방문해야 하는주혈흡충증증상,사지를 움직일 수 없음 "설사에 점액 혈액 또는 고름이 있는 경우입니다." 호흡곤란
주혈흡충증,주혈흡충증자가 관리 방법,"균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다" 하루에 물 2리터를 섭취합니다. 프라지콴텔 및/또는 경구용 코르티코스테로이드에 대해 일반의와 상의하세요 식수를 섭취합니다
주혈흡충증,주혈흡충증증상,피부에 부푼 자국/두드러기 국소 복통 광범위한 근육통 힘 빠짐을 느낌 설사
중뇌 뇌졸중,병원 방문 필요 증상,없음
중뇌 뇌졸중,자가 관리 방법,없음
중뇌 뇌졸중,중뇌 뇌졸중증상,위를 응시할 수 없음 반복적인 불수의 안구 운동 사시 신체 절반의 위축 또는 마비 민감도 변경
중등도 외상성 두뇌 손상,병원 방문 필요 증상,없음
중등도 외상성 두뇌 손상,중등도 외상성 두뇌 손상자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 증상을 완화하기 위해 하루 3번 20분 동안 냉찜질을 합니다 증상이 최소화될 때까지 부분적으로 휴식을 취합니다.
중등도 외상성 두뇌 손상,중등도 외상성 두뇌 손상증상,경련 일과성 의식 소실 사고에 대한 기억상실 의식을 잃음 두통
중등도 출혈,병원 방문 필요 증상,없음
중등도 출혈,중등도 출혈자가 관리 방법,물과 비누로 상처 부위를 완전히 씻어냅니다 눌러서 출혈을 멈춥니다 상처에 달라붙지 않는 깨끗한 붕대를 감습니다
중등도 출혈,중등도 출혈증상,"760~1500ml의 중등도 출혈" 심장이 평소보다 빠르게 뜀 불안 출혈 자상 또는 상처
중심망막동맥폐쇄,병원 방문 필요 증상,없음
중심망막동맥폐쇄,자가 관리 방법,없음
중심망막동맥폐쇄,중심망막동맥폐쇄증상,심각한 시력 상실 급성 시력 상실 확장된 동공 동공 크기가 다름 불규칙적 심박동
중이염,병원을 꼭 방문해야 하는중이염증상,고열(39ºC 이상) 청력상실 희끄무레한 액체(고름) 분비
중이염,중이염자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 항생제에 대해 일반의와 상의하세요
중이염,중이염증상,이통 체액이 삼출하면 귀의 통증이 호전됨 발열/매우 더운 느낌 귀에 물이 찬 느낌 이도의 고름
중증 고열,병원 방문 필요 증상,없음
중증 고열,자가 관리 방법,없음
중증 고열,중증 고열증상,발열/매우 더운 느낌 의식 소실 감소 두근거림 심장이 평소보다 빠르게 뜀 과도 발한
중증근무력증,병원을 꼭 방문해야 하는중증근무력증증상,삼키기 어려움 대화하기 어려움 호흡곤란
중증근무력증,중증근무력증자가 관리 방법,아세틸콜린에스테라아제 억제제에 대해 일반의와 상의하세요. 경구용 코르티코스테로이드에 대해 일반의와 상의하세요 "균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다"
중증근무력증,중증근무력증증상,힘 빠짐을 느낌 운동하면 악화되고 쉬거나 추우면 호전됨 같은 운동을 반복하면 근력 손실이 커짐 눈꺼풀 처짐 몸통의 근육 약화
중증 급성 간부전,병원 방문 필요 증상,없음
중증 급성 간부전,자가 관리 방법,없음
중증 급성 간부전,중증 급성 간부전증상,의식 소실 감소 혼수 손피판 졸림증 황색 피부 및 점막
중증 뇌진탕,병원 방문 필요 증상,없음
중증 뇌진탕,자가 관리 방법,없음
중증 뇌진탕,중증 뇌진탕증상,혼수 경련 의식을 잃음 의식 소실 감소 사고에 대한 기억상실
중증 저체온증,병원 방문 필요 증상,없음
중증 저체온증,중증 저체온증자가 관리 방법,젖거나 마르지 않은 옷을 벗습니다
중증 저체온증,중증 저체온증증상,피부가 차가움 손톱 및/또는 입술이 푸르스름함 힘 빠짐을 느낌 떨림 의식 소실 감소
중증 저혈당증,병원 방문 필요 증상,없음
중증 저혈당증,자가 관리 방법,없음
중증 저혈당증,중증 저혈당증증상,혈당 수치가 50g/dl 이하임 두근거림 의식 소실 감소
중증 저혈압/쇼크,병원 방문 필요 증상,없음
중증 저혈압/쇼크,자가 관리 방법,없음
중증 저혈압/쇼크,중증 저혈압/쇼크증상,피부가 차갑고 창백하며 푸른 반점이 있음 저혈압 발이 차가움 과도 발한 의식을 잃음
중증 출혈,병원 방문 필요 증상,없음
중증 출혈,중증 출혈자가 관리 방법,눌러서 출혈을 멈춥니다 상처에 달라붙지 않는 깨끗한 붕대를 감습니다
중증 출혈,중증 출혈증상,"1500ml 이상의 대량 출혈" 의식 소실 감소 저혈압 적은 양의 소변을 배출함 자상 또는 상처
중증 호흡부전/중증 저산소혈증,병원 방문 필요 증상,없음
중증 호흡부전/중증 저산소혈증,자가 관리 방법,없음
